transaction_id;customer_id;transaction_date;online_order;order_status;id_product_big
1;2950;25.02.2017;False;Approved;1
2;3120;21.05.2017;True;Approved;2
3;402;16.10.2017;False;Approved;3
4;3135;31.08.2017;False;Approved;4
5;787;01.10.2017;True;Approved;5
6;2339;08.03.2017;True;Approved;6
7;1542;21.04.2017;True;Approved;7
8;2459;15.07.2017;False;Approved;8
9;1305;10.08.2017;False;Approved;9
10;3262;30.08.2017;True;Approved;10
11;1986;17.01.2017;False;Approved;11
12;2783;05.01.2017;True;Approved;12
13;1243;26.02.2017;True;Approved;13
14;2717;10.09.2017;False;Approved;14
15;247;11.06.2017;False;Approved;15
16;2961;10.10.2017;False;Approved;2
17;2426;03.04.2017;False;Approved;16
18;1842;02.06.2017;False;Approved;17
19;2268;06.04.2017;True;Approved;18
20;3002;28.01.2017;True;Approved;6
21;1582;09.10.2017;False;Approved;19
22;595;29.06.2017;True;Approved;3
23;2001;08.04.2017;True;Approved;3
24;515;18.10.2017;False;Approved;20
25;2822;11.06.2017;False;Approved;21
26;2596;10.01.2017;False;Approved;22
27;2666;11.04.2017;True;Approved;22
28;76;23.12.2017;False;Approved;23
29;3368;13.10.2017;True;Approved;24
30;1173;15.03.2017;False;Approved;25
31;2810;05.09.2017;True;Approved;4
32;3214;18.02.2017;False;Approved;26
33;1272;20.03.2017;False;Approved;6
34;2003;28.02.2017;True;Approved;27
35;2171;20.08.2017;False;Approved;28
36;3356;07.07.2017;False;Approved;29
37;1040;09.01.2017;False;Approved;30
38;2916;06.12.2017;False;Approved;1
39;427;12.09.2017;False;Approved;10
40;2448;28.11.2017;True;Approved;28
41;2570;08.05.2017;True;Approved;31
42;3398;14.05.2017;False;Approved;32
43;488;17.03.2017;False;Cancelled;33
44;165;22.12.2017;False;Approved;34
45;2787;07.06.2017;True;Approved;35
46;3053;20.06.2017;False;Approved;36
47;475;07.05.2017;True;Approved;13
48;1305;10.06.2017;True;Approved;37
49;1251;17.06.2017;False;Approved;38
50;3103;10.05.2017;False;Approved;39
51;3108;24.03.2017;False;Approved;40
52;857;27.11.2017;False;Approved;41
53;3455;21.12.2017;True;Approved;42
54;2549;09.02.2017;True;Approved;19
55;3140;18.09.2017;False;Approved;43
56;3406;14.11.2017;False;Approved;44
57;2294;30.08.2017;True;Approved;45
58;1031;14.11.2017;False;Approved;46
59;993;15.02.2017;True;Approved;47
60;3473;18.12.2017;False;Approved;48
61;1839;24.02.2017;False;Approved;49
62;1824;18.12.2017;True;Approved;17
63;368;17.12.2017;False;Approved;50
64;2000;08.07.2017;False;Approved;51
65;825;16.05.2017;True;Approved;52
66;3315;23.02.2017;True;Approved;38
67;75;03.07.2017;True;Approved;1
68;1498;30.09.2017;True;Approved;53
69;1612;21.10.2017;True;Approved;54
70;2192;06.05.2017;True;Approved;19
71;419;03.01.2017;False;Approved;18
72;3307;09.05.2017;True;Approved;55
73;2430;23.07.2017;False;Approved;7
74;1506;21.01.2017;True;Approved;56
75;1346;20.06.2017;False;Approved;57
76;927;10.03.2017;False;Approved;7
77;763;02.06.2017;False;Approved;58
78;2397;07.11.2017;False;Approved;59
79;102;12.09.2017;True;Approved;60
80;2884;16.12.2017;False;Approved;61
81;759;07.10.2017;True;Approved;62
82;773;27.04.2017;True;Approved;63
83;3398;01.04.2017;True;Approved;64
84;3297;02.11.2017;True;Approved;17
85;2434;13.02.2017;True;Approved;65
86;1861;19.07.2017;False;Approved;26
87;1233;23.05.2017;False;Approved;19
88;1390;06.08.2017;False;Approved;66
89;2682;04.04.2017;True;Approved;49
90;439;15.08.2017;True;Approved;67
91;1579;15.04.2017;True;Approved;68
92;2984;25.07.2017;True;Approved;69
93;3470;28.11.2017;True;Approved;17
94;1;23.12.2017;False;Approved;38
95;757;26.02.2017;False;Approved;70
96;1778;21.02.2017;False;Approved;26
97;211;31.05.2017;True;Approved;59
98;333;23.06.2017;;Approved;71
99;32;26.03.2017;False;Approved;72
100;119;31.07.2017;False;Approved;73
101;2347;27.07.2017;False;Approved;74
102;2353;14.04.2017;False;Approved;53
103;788;12.11.2017;False;Approved;17
104;1468;12.09.2017;False;Approved;5
105;821;26.10.2017;False;Approved;21
106;2489;15.02.2017;False;Approved;75
107;2710;22.12.2017;False;Approved;16
108;947;11.10.2017;True;Approved;76
109;1335;27.03.2017;True;Approved;77
110;1076;04.11.2017;False;Approved;78
111;3320;11.06.2017;True;Approved;79
112;779;09.10.2017;False;Approved;62
113;3296;07.06.2017;True;Approved;80
114;455;24.10.2017;True;Approved;81
115;1779;01.05.2017;False;Approved;33
116;2703;21.11.2017;True;Approved;24
117;806;24.03.2017;False;Approved;82
118;22;21.03.2017;False;Approved;83
119;1591;20.02.2017;False;Approved;22
120;678;16.06.2017;False;Approved;84
121;50;04.12.2017;False;Approved;6
122;1038;01.12.2017;True;Approved;85
123;1453;05.03.2017;True;Approved;66
124;1339;21.03.2017;False;Approved;86
125;3382;03.01.2017;True;Approved;87
126;773;01.04.2017;False;Approved;88
127;2503;16.03.2017;True;Approved;65
128;1057;26.02.2017;False;Approved;6
129;1397;05.06.2017;False;Approved;58
130;2134;04.09.2017;False;Approved;31
131;2403;18.01.2017;True;Approved;89
132;1937;28.09.2017;False;Approved;10
133;1282;02.09.2017;True;Approved;90
134;2183;09.05.2017;False;Approved;5
135;1788;17.10.2017;False;Approved;62
136;1170;25.04.2017;True;Approved;91
137;431;23.09.2017;False;Approved;92
138;1940;02.08.2017;False;Approved;93
139;2073;25.03.2017;False;Cancelled;94
140;462;01.01.2017;False;Approved;95
141;2728;22.12.2017;False;Approved;96
142;2053;25.12.2017;False;Approved;34
143;2135;26.01.2017;True;Approved;48
144;1217;20.12.2017;False;Approved;97
145;2992;07.06.2017;True;Approved;98
146;3261;06.04.2017;True;Approved;99
147;2748;25.04.2017;True;Approved;100
148;3262;13.01.2017;False;Approved;101
149;788;21.03.2017;False;Approved;21
150;3067;21.11.2017;True;Approved;102
151;701;11.11.2017;False;Approved;103
152;648;16.10.2017;False;Approved;29
153;3286;19.08.2017;True;Approved;3
154;3383;06.04.2017;True;Approved;2
155;982;04.11.2017;True;Approved;104
156;676;22.08.2017;True;Approved;30
157;385;15.09.2017;True;Approved;105
158;1229;01.03.2017;True;Approved;58
159;3232;16.08.2017;False;Approved;106
160;3300;27.08.2017;False;Approved;107
161;2381;10.07.2017;False;Approved;108
162;371;11.12.2017;False;Approved;5
163;2519;20.05.2017;True;Approved;59
164;2264;30.07.2017;False;Approved;68
165;2637;25.10.2017;True;Approved;2
166;3262;27.11.2017;False;Approved;5
167;3177;26.04.2017;;Approved;109
168;2267;02.02.2017;False;Approved;60
169;456;02.05.2017;False;Approved;110
170;404;16.10.2017;;Approved;42
171;3121;22.10.2017;False;Approved;111
172;2365;11.04.2017;True;Approved;35
173;2528;16.11.2017;False;Approved;111
174;3151;17.12.2017;False;Approved;106
175;3241;23.12.2017;False;Approved;6
176;1335;30.03.2017;True;Approved;112
177;2234;13.04.2017;False;Approved;109
178;3226;25.07.2017;True;Approved;56
179;1365;31.01.2017;False;Approved;67
180;3349;18.03.2017;True;Approved;83
181;1002;24.02.2017;False;Approved;68
182;2282;18.02.2017;False;Approved;14
183;2656;07.01.2017;False;Approved;34
184;2409;05.07.2017;True;Approved;113
185;1711;19.11.2017;False;Approved;25
186;2582;08.11.2017;True;Approved;68
187;1005;24.07.2017;True;Approved;114
188;1597;15.01.2017;True;Approved;2
189;2713;12.01.2017;True;Approved;56
190;1435;27.11.2017;True;Approved;3
191;1477;30.06.2017;True;Approved;115
192;1614;15.07.2017;True;Approved;116
193;1254;22.06.2017;True;Approved;10
194;1423;02.05.2017;False;Approved;6
195;276;27.12.2017;False;Approved;117
196;1315;21.12.2017;True;Approved;118
197;591;23.05.2017;True;Approved;70
198;1017;02.02.2017;False;Approved;119
199;2123;08.06.2017;False;Approved;17
200;2889;15.04.2017;True;Approved;120
201;3208;05.09.2017;True;Approved;121
202;2406;26.02.2017;True;Approved;122
203;2041;29.07.2017;False;Approved;100
204;1598;03.07.2017;True;Approved;117
205;1842;27.05.2017;True;Approved;57
206;141;05.05.2017;False;Approved;123
207;1321;09.09.2017;False;Approved;45
208;183;21.05.2017;False;Approved;124
209;2591;22.09.2017;False;Approved;125
210;3356;12.04.2017;True;Approved;126
211;766;07.05.2017;True;Approved;127
212;1596;13.01.2017;False;Approved;128
213;520;14.12.2017;False;Approved;129
214;868;22.03.2017;True;Approved;34
215;2999;30.09.2017;False;Approved;5
216;352;29.11.2017;True;Approved;24
217;1140;09.06.2017;False;Approved;81
218;621;21.04.2017;False;Approved;130
219;3307;13.11.2017;False;Approved;131
220;1502;09.04.2017;True;Approved;106
221;936;08.05.2017;False;Approved;50
222;939;08.07.2017;True;Approved;132
223;2698;30.11.2017;False;Approved;131
224;579;25.04.2017;True;Approved;108
225;2036;30.03.2017;True;Approved;18
226;3077;10.03.2017;False;Approved;132
227;369;16.03.2017;True;Approved;38
228;821;04.04.2017;True;Approved;133
229;2687;13.03.2017;True;Approved;23
230;681;23.12.2017;True;Approved;38
231;37;12.08.2017;True;Approved;134
232;3002;04.08.2017;False;Approved;135
233;396;01.09.2017;False;Approved;97
234;550;01.09.2017;True;Approved;113
235;1605;02.07.2017;False;Approved;40
236;2325;31.08.2017;True;Approved;136
237;1420;11.03.2017;True;Approved;122
238;3099;08.10.2017;False;Approved;10
239;1645;01.10.2017;True;Approved;12
240;546;23.11.2017;False;Approved;63
241;2885;27.03.2017;True;Approved;38
242;2740;04.12.2017;False;Approved;120
243;3166;13.11.2017;True;Approved;126
244;3487;20.12.2017;True;Approved;137
245;2890;22.09.2017;True;Approved;17
246;3370;22.01.2017;False;Approved;86
247;3393;29.01.2017;True;Approved;61
248;2410;21.07.2017;False;Approved;120
249;3466;10.02.2017;True;Approved;12
250;1454;25.11.2017;False;Cancelled;138
251;1967;11.04.2017;;Approved;126
252;3089;03.12.2017;False;Approved;5
253;3123;30.12.2017;False;Approved;131
254;2692;26.07.2017;False;Approved;9
255;2801;01.04.2017;True;Cancelled;100
256;1580;22.10.2017;True;Approved;139
257;352;22.03.2017;False;Approved;91
258;1777;15.06.2017;True;Approved;71
259;142;06.07.2017;True;Approved;60
260;3393;28.12.2017;False;Approved;103
261;599;09.05.2017;False;Approved;68
262;1258;18.01.2017;False;Approved;46
263;3405;22.10.2017;True;Approved;88
264;3198;30.01.2017;False;Approved;140
265;834;26.06.2017;False;Approved;83
266;3467;07.11.2017;True;Approved;31
267;3436;13.08.2017;True;Approved;108
268;1516;27.08.2017;False;Approved;141
269;2833;25.01.2017;True;Approved;95
270;2362;13.02.2017;False;Approved;1
271;2337;11.07.2017;False;Approved;19
272;2149;30.04.2017;True;Approved;142
273;2133;19.05.2017;False;Approved;37
274;360;26.05.2017;True;Approved;42
275;2969;03.02.2017;True;Approved;33
276;1720;28.04.2017;False;Approved;143
277;2904;23.03.2017;False;Approved;74
278;754;03.06.2017;False;Approved;102
279;1826;25.04.2017;False;Approved;50
280;2487;08.04.2017;False;Approved;90
281;2815;18.02.2017;False;Approved;127
282;541;04.05.2017;False;Approved;26
283;302;29.03.2017;False;Approved;14
284;2024;03.10.2017;True;Approved;31
285;142;27.07.2017;True;Approved;138
286;768;07.08.2017;True;Approved;56
287;2147;07.02.2017;True;Approved;144
288;529;20.11.2017;True;Approved;78
289;825;23.02.2017;False;Approved;133
290;624;05.04.2017;True;Approved;35
291;2302;07.11.2017;False;Approved;140
292;3380;28.10.2017;False;Approved;145
293;314;19.11.2017;False;Approved;146
294;1079;25.08.2017;True;Approved;16
295;1643;20.01.2017;True;Approved;95
296;1524;14.03.2017;True;Approved;46
297;3205;14.04.2017;True;Approved;143
298;2860;20.11.2017;True;Approved;68
299;772;24.05.2017;False;Approved;133
300;323;25.03.2017;True;Approved;53
301;2530;24.03.2017;;Approved;5
302;2426;17.03.2017;True;Approved;82
303;1883;18.11.2017;False;Approved;138
304;2745;07.04.2017;False;Approved;10
305;2819;04.01.2017;False;Approved;40
306;792;13.12.2017;False;Approved;147
307;923;20.04.2017;False;Approved;50
308;3353;21.07.2017;False;Approved;98
309;3394;27.11.2017;False;Approved;141
310;3213;21.10.2017;False;Approved;81
311;3260;07.03.2017;False;Approved;55
312;1015;04.12.2017;False;Approved;26
313;2266;25.01.2017;False;Approved;37
314;58;20.08.2017;True;Approved;42
315;3118;18.12.2017;True;Approved;130
